,oRandomLat,oRandomLong,dRandomLat,dRandomLong,oTrain,dTrain,oBike,oBikeCoords,dBike,dBikeCoords,bikeMins,trainMins
154,51.548063684089975,-0.09331661627666642,51.49352111962076,-0.1954122621358736,Highbury & Islington,Earl's Court,"Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)","Nevern Place, Earl's Court","(51.49298220000001, -0.1956214)",20,41.76923076923077
155,51.58740237707553,-0.10016281620314348,51.51967435662662,-0.14543612481249385,Turnpike Lane,Regent's Park,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","New Cavendish Street, Marylebone","(51.5195873, -0.1458118)",18,28.34453781512605
156,51.524011845813824,-0.07980774984186052,51.42590098313332,-0.1453433591617115,Old Street,Tooting Bec,"New Inn Yard, Shoreditch","(51.524521299999996, -0.07888780000000001)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",24,46.764976958525345
157,51.477525443257115,-0.032160291027921326,51.53336160689973,-0.04638889765568689,New Cross,Bethnal Green,"Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)","Old Ford Road, Bethnal Green","(51.5331219, -0.0416843)",16,15.4
158,51.594617685186655,-0.18240153644114815,51.496057992877894,-0.08944603087824136,Finchley Central,Borough,"Allington street, Westminster","(51.5806125, -0.2282815)","Great Dover Street, The Borough","(51.497711200000005, -0.08989649999999999)",33,21.75
159,51.47749651036922,-0.1320335870101891,51.59373726423154,-0.18472009500840952,Stockwell,Finchley Central,"Wandsworth Rd, Isley Court, Wandsworth Road","(51.47576779999999, -0.13241760000000002)","Allington street, Westminster","(51.5806125, -0.2282815)",32,23.136986301369863
160,51.48934538839524,-0.02109463958504211,51.577773764997595,-0.026448110831848295,Mudchute,Walthamstow Central,"Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)","Lee Valley VeloPark, Queen Elizabeth Olympic Park","(51.550659, -0.015266)",42,14.816371681415928
161,51.434775808963145,-0.20585773467508944,51.53909978843482,-0.1775415708386462,Wimbledon Park,Swiss Cottage,"Neville Gill Close, Wandsworth","(51.4543639, -0.1948588)","Wellington Road, St. John's Wood","(51.5343659, -0.17422870000000001)",33,14.588937093275488
162,51.414826829502296,-0.1266391280313412,51.46445765811117,-0.02436550269866021,Tooting Broadway,Elverson Road,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",46,40.0
163,51.41185790233091,-0.06185586114782553,51.54755954713382,-0.1231676430067899,Brixton,Caledonian Road,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Handyside Street, King's Cross","(51.5374403, -0.125248)",23,13.599173553719007
164,51.45646536454014,-0.11570099362675025,51.45317216707902,-0.0439072238325459,Brixton,New Cross Gate,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",23,40.0
165,51.503466093569585,-0.12981878310699768,51.53458394279852,-0.14666614358729993,Westminster,Mornington Crescent,"Storey's Gate, Westminster","(51.50039839999999, -0.1296283)","Parkway, Camden Town","(51.537822600000005, -0.1448678)",10,13.698600101197504
166,51.527818709421155,-0.19982510302481465,51.44122695507772,-0.1827149124308564,Westbourne Park,Wimbledon Park,"Bevington Road West, North Kensington","(51.5208259, -0.2076607)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",28,17.579591836734696
167,51.50454618557225,-0.026929801296833547,51.46539169874032,-0.17321398565979942,Heron Quays,Parsons Green,"Westferry Circus, Canary Wharf","(51.505621999999995, -0.026397900000000005)","Grant Road Central, Clapham Junction","(51.4650584, -0.1712969)",31,58.36363636363637
168,51.58147213583968,-0.08903177944133693,51.56860867745791,-0.1672249963758309,Seven Sisters,Hampstead,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",21,31.587786259541986
169,51.60703650945686,-0.03532939697906802,51.56384151186755,-0.05862477063562942,Blackhorse Road,Seven Sisters,"Lee Valley VeloPark, Queen Elizabeth Olympic Park","(51.550659, -0.015266)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",5,18.471615720524017
170,51.59323278067779,-0.10139696507901022,51.52934778169293,-0.01779663994785098,Turnpike Lane,Bow Church,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Bromley High Street, Bow","(51.527896500000004, -0.015745)",32,18.780104712041883
171,51.54021739534378,-0.016347418933871802,51.52181836139479,-0.1427139468594022,Pudding Mill Lane,Great Portland Street,"East Village, Queen Elizabeth Olympic Park","(51.543296100000006, -0.0165517)","Bolsover Street, Fitzrovia","(51.5221084, -0.1429021)",23,49.368421052631575
172,51.56393040110253,-0.11940186006424372,51.56258451633509,-0.056811894390757636,Finsbury Park,Seven Sisters,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",4,23.897435897435898
173,51.565031731869034,-0.10006610144595769,51.4131458553286,-0.18142650134790572,Finsbury Park,Colliers Wood,"Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",34,45.92647058823529
