,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
222,306,254,780,1.94
223,228,360,540,1.19
224,112,104,780,1.86
225,107,508,540,1.32
226,246,66,300,0.95
227,84,15,540,1.06
228,581,169,360,0.87
229,793,325,1080,2.48
230,400,192,960,1.51
231,470,553,720,3.07
232,421,773,360,0.86
233,465,310,1500,4.28
234,119,357,960,2.94
235,199,101,300,0.47
236,108,217,1500,3.38
237,784,790,420,1.28
238,129,43,720,1.69
239,200,331,660,1.56
240,16,81,540,1.59
241,789,790,300,0.72
242,611,559,240,0.39
243,480,715,300,0.71
244,134,458,300,0.6
245,246,674,600,1.89
246,645,223,540,1.22
247,564,478,1560,3.96
248,727,626,300,0.9
249,341,449,1560,3.73
250,462,809,900,2.2
251,219,405,240,0.54
252,213,99,420,1.39
253,224,201,720,1.49
254,282,552,360,0.76
255,289,737,1140,3.61
256,39,513,540,1.56
257,807,754,360,0.93
258,620,638,420,1
259,412,112,960,2.9
260,132,479,300,0.77
261,713,34,420,1.22
262,682,615,360,1.11
263,453,217,780,2.16
264,486,135,660,1.84
265,419,217,1680,4.36
266,254,72,300,0.82
267,95,50,420,1.15
268,47,762,1140,3.29
269,763,496,360,1.21
270,187,573,300,0.65
271,14,11,300,0.69
272,270,221,420,1.42
273,71,546,360,0.79
274,664,427,1380,4.65
275,127,308,780,2.06
276,55,480,780,2.28
277,433,318,1080,2.19
278,511,427,780,2.14
279,197,100,420,1.48
280,154,801,540,1.16
281,92,115,720,2.12
282,39,536,360,0.95
283,818,67,900,2.82
284,393,197,660,1.58
285,258,356,300,0.64
286,308,603,780,2.74
287,700,355,840,3.05
288,1,234,360,0.77
289,595,686,180,0.5
290,84,146,1020,2.94
291,640,821,300,1.04
292,106,427,1140,3.17
293,503,322,600,1.64
294,248,266,360,0.88
295,374,246,900,2.21
296,766,633,840,3.58
297,785,478,720,2.6
298,619,252,1560,5.97
299,184,428,1020,2.47
300,58,31,420,1.05
301,300,303,300,0.94
302,743,125,1800,6.66
303,703,579,480,1.21
304,374,556,1500,5.21
305,154,340,960,2.28
306,102,811,900,3.07
307,661,307,300,0.98
308,536,126,720,2.05
309,510,215,1020,3.55
310,195,194,360,0.66
311,404,191,360,1.37
312,12,356,1320,4.14
313,503,40,600,1.48
314,512,749,300,0.94
315,456,114,420,2.1
316,215,234,540,1.74
317,51,203,300,0.69
318,96,785,960,3.73
319,226,191,540,1.44
320,729,616,180,0.37
321,314,154,840,2.09
322,12,146,900,2.59
323,400,318,600,1.07
324,727,737,300,0.81
325,806,695,540,1.59
326,256,27,240,0.43
327,18,22,360,0.87
328,430,356,300,0.64
329,39,135,540,1.38
330,767,709,300,0.98
331,710,817,360,1.34
332,18,106,780,1.45
333,28,109,780,1.85
334,116,318,420,0.41
335,55,18,660,1.92
336,737,621,600,2
337,490,85,540,1.3
338,108,662,660,2.18
339,156,249,240,0.34
340,680,640,420,1.52
341,51,40,540,1.61
342,347,235,360,0.5
343,274,288,840,2.96
344,11,549,1020,2.74
345,109,361,780,2.08
346,95,3,360,0.85
347,374,15,660,1.91
348,573,524,720,2.54
349,462,804,360,1.08
350,240,295,360,0.9
351,239,306,300,0.62
352,576,532,300,0.83
353,209,671,660,2.4
354,107,427,480,1.08
355,372,341,480,0.87
356,399,73,540,1.32
357,390,459,600,2.38
358,109,206,1260,3.81
359,782,5,660,2.5
360,324,297,420,0.54
361,52,55,360,0.87
362,780,171,540,1.63
363,192,798,900,2.23
364,257,69,480,1.53
365,718,505,720,2.3
366,410,760,420,1.45
367,200,488,480,0.81
368,632,183,480,1.74
369,39,177,1260,4.29
370,682,433,1560,7.54
371,108,726,780,2.89
372,63,73,360,0.91
373,702,479,240,0.6
374,101,335,480,1.58
375,611,661,300,1.05
376,341,195,600,1.98
377,17,64,720,1.66
378,74,191,600,2.09
379,133,216,420,1.18
380,82,372,240,0.41
381,135,512,720,2.35
382,626,158,300,0.92
383,81,4,660,1.89
384,766,597,480,1.99
385,193,732,360,0.72
386,470,500,600,2.02
387,631,360,540,2.1
388,46,732,480,1.58
389,294,108,300,1.07
390,611,379,300,0.9
391,811,544,1200,4.5
392,273,112,480,1.56
393,101,97,1320,4.89
394,108,321,900,2.92
395,619,672,480,1.91
396,17,101,540,1.3
397,202,393,660,2.04
398,154,214,720,2.16
