station__id,station__name,station__terminalName,station__lat,station__long,station__installed,station__locked,station__installDate,station__removalDate,station__temporary
242,"Beaumont Street, Marylebone",3482,51.52200801,-0.151359288,TRUE,FALSE,1.27963E+12,,FALSE
243,"Gloucester Street, Pimlico",1103,51.49096258,-0.139625122,TRUE,FALSE,1.27963E+12,,FALSE
244,"Earnshaw Street , Covent Garden",1145,51.51611887,-0.128585022,TRUE,FALSE,1.27963E+12,,FALSE
245,"Grosvenor Road, Pimlico",1140,51.4853572,-0.142207481,TRUE,FALSE,1.27963E+12,,FALSE
246,"Berry Street, Clerkenwell",1159,51.52285301,-0.099994052,TRUE,FALSE,1.27964E+12,,FALSE
247,"St. John's Wood Church, The Regent's Park",1091,51.530052,-0.168314,TRUE,FALSE,1.27964E+12,,FALSE
248,"Triangle Car Park, Hyde Park",1088,51.50645179,-0.170279555,TRUE,FALSE,1.27964E+12,,FALSE
249,"Harper Road, The Borough",1137,51.49859784,-0.096191134,TRUE,FALSE,1.27964E+12,,FALSE
250,"Royal Avenue 1, Chelsea",3440,51.489932,-0.162727,TRUE,FALSE,1.27964E+12,,FALSE
251,"Brushfield Street, Liverpool Street",1161,51.518908,-0.079249,TRUE,FALSE,1.2797E+12,,FALSE
252,"Jubilee Gardens, South Bank",1111,51.5046364,-0.116542278,TRUE,FALSE,1.2797E+12,,FALSE
253,"Shoreditch Park, Hoxton",1051,51.53404294,-0.086379717,TRUE,FALSE,1.2797E+12,,FALSE
254,"Chadwell Street, Angel",3471,51.53051587,-0.106408455,TRUE,FALSE,1.2797E+12,,FALSE
255,"Clifton Road, Maida Vale",1147,51.52557531,-0.179592915,TRUE,FALSE,1.2797E+12,,FALSE
